,date,date_utc,open,high,low,close,volume
0,02-22-2023,1677076200,148.87,149.5,148.14,148.23,4827938
1,02-22-2023,1677077100,148.26,148.68,147.86,147.93,3056832
2,02-22-2023,1677078000,147.93,148.21,147.35,147.48,2425252
3,02-22-2023,1677078900,147.49,147.98,147.18,147.49,1950992
4,02-22-2023,1677079800,147.48,147.84,147.16,147.84,1567622
5,02-22-2023,1677080700,147.84,148.4,147.78,148.14,1384222
6,02-22-2023,1677081600,148.15,148.28,147.85,147.91,951116
7,02-22-2023,1677082500,147.92,148.12,147.7,147.86,1020349
8,02-22-2023,1677083400,147.88,148.32,147.76,148.1,1040168
9,02-22-2023,1677084300,148.1,148.15,147.69,148.06,842201
10,02-22-2023,1677085200,148.08,148.2,147.84,147.9,652950
11,02-22-2023,1677086100,147.91,148.34,147.91,148.11,895140
12,02-22-2023,1677087000,148.12,149.05,148.12,149.0,1998479
13,02-22-2023,1677087900,149.01,149.11,148.81,148.93,1373074
14,02-22-2023,1677088800,148.93,149.32,148.76,149.11,1352436
15,02-22-2023,1677089700,149.12,149.43,149.04,149.38,869245
16,02-22-2023,1677090600,149.38,149.41,148.93,149.29,910402
17,02-22-2023,1677091500,149.29,149.32,148.95,149.17,870591
18,02-22-2023,1677092400,149.17,149.95,148.57,149.16,2991846
19,02-22-2023,1677093300,149.16,149.53,148.72,148.96,1614896
20,02-22-2023,1677094200,148.96,149.01,148.45,148.78,1514063
21,02-22-2023,1677095100,148.78,149.09,148.26,148.37,1528510
22,02-22-2023,1677096000,148.37,148.68,148.21,148.45,1542947
23,02-22-2023,1677096900,148.44,148.81,148.36,148.38,1270111
24,02-22-2023,1677097800,148.38,148.65,148.27,148.4,1489906
25,02-22-2023,1677098700,148.4,149.01,148.18,148.93,3373870
26,02-23-2023,1677162600,150.09,150.34,149.37,149.73,4248227
27,02-23-2023,1677163500,149.74,150.07,149.48,149.58,2700749
28,02-23-2023,1677164400,149.58,149.79,148.77,149.0,2393394
29,02-23-2023,1677165300,149.01,149.04,148.72,148.85,1705949
30,02-23-2023,1677166200,148.84,149.04,148.38,148.4,1887348
31,02-23-2023,1677167100,148.4,148.43,147.67,147.98,2164327
32,02-23-2023,1677168000,147.97,148.25,147.71,148.09,1510291
33,02-23-2023,1677168900,148.1,148.16,147.65,147.81,1372676
34,02-23-2023,1677169800,147.82,147.99,147.49,147.53,1478063
35,02-23-2023,1677170700,147.52,147.82,147.47,147.52,1527814
36,02-23-2023,1677171600,147.53,147.57,147.24,147.46,1216982
37,02-23-2023,1677172500,147.46,147.68,147.39,147.47,1680521
38,02-23-2023,1677173400,147.46,147.82,147.43,147.7,1074044
39,02-23-2023,1677174300,147.69,147.78,147.5,147.73,719617
40,02-23-2023,1677175200,147.74,147.91,147.43,147.62,974278
41,02-23-2023,1677176100,147.61,147.84,147.53,147.79,723139
42,02-23-2023,1677177000,147.8,148.13,147.65,147.97,953628
43,02-23-2023,1677177900,147.97,148.4,147.92,148.2,1135411
44,02-23-2023,1677178800,148.19,148.63,148.05,148.58,900614
45,02-23-2023,1677179700,148.59,149.28,148.59,149.2,1833223
46,02-23-2023,1677180600,149.22,149.66,149.22,149.42,1485651
47,02-23-2023,1677181500,149.42,149.51,149.1,149.25,1024873
48,02-23-2023,1677182400,149.24,149.71,149.24,149.69,1294713
49,02-23-2023,1677183300,149.69,149.86,149.48,149.79,1282893
50,02-23-2023,1677184200,149.79,149.93,149.63,149.79,1644765
51,02-23-2023,1677185100,149.78,149.8,149.33,149.42,3139275
52,02-24-2023,1677249000,147.11,147.19,146.63,146.69,4979912
53,02-24-2023,1677249900,146.68,146.68,146.12,146.41,2954426
54,02-24-2023,1677250800,146.4,146.91,146.25,146.41,3093137
55,02-24-2023,1677251700,146.43,146.5,146.2,146.29,2164522
56,02-24-2023,1677252600,146.29,146.48,146.02,146.24,2114856
57,02-24-2023,1677253500,146.25,146.36,145.95,146.09,1895889
58,02-24-2023,1677254400,146.1,146.16,145.73,145.92,1490731
59,02-24-2023,1677255300,145.93,146.58,145.91,146.39,1514768
60,02-24-2023,1677256200,146.4,146.53,146.11,146.4,1241949
61,02-24-2023,1677257100,146.41,146.9,146.28,146.42,1426084
62,02-24-2023,1677258000,146.41,146.51,146.11,146.35,1017318
63,02-24-2023,1677258900,146.35,146.37,146.06,146.25,1008777
64,02-24-2023,1677259800,146.26,146.44,145.96,146.01,945894
65,02-24-2023,1677260700,146.01,146.02,145.88,145.98,943007
66,02-24-2023,1677261600,145.98,146.11,145.72,145.85,1125577
67,02-24-2023,1677262500,145.87,146.36,145.83,146.21,1242224
68,02-24-2023,1677263400,146.22,146.22,145.89,146.0,984307
69,02-24-2023,1677264300,146.0,146.24,145.9,146.1,1084679
70,02-24-2023,1677265200,146.1,146.36,145.98,146.12,1096858
71,02-24-2023,1677266100,146.14,146.37,145.93,146.11,1070710
72,02-24-2023,1677267000,146.12,146.15,145.77,145.85,1047048
73,02-24-2023,1677267900,145.85,146.62,145.81,146.5,1661131
74,02-24-2023,1677268800,146.51,146.69,146.21,146.25,1360627
75,02-24-2023,1677269700,146.26,146.46,146.11,146.12,1350142
76,02-24-2023,1677270600,146.12,146.19,145.85,146.03,2080085
77,02-24-2023,1677271500,146.02,146.8,145.8,146.71,5037947
78,02-27-2023,1677508200,147.71,148.38,147.7,148.11,4025356
79,02-27-2023,1677509100,148.11,148.56,147.88,148.53,2254397
80,02-27-2023,1677510000,148.52,149.02,148.24,148.99,2204048
81,02-27-2023,1677510900,148.99,149.17,148.69,148.71,1758002
82,02-27-2023,1677511800,148.72,148.76,147.78,148.08,2089975
83,02-27-2023,1677512700,148.09,148.19,147.87,148.17,1645102
84,02-27-2023,1677513600,148.16,148.25,147.6,147.73,1612667
85,02-27-2023,1677514500,147.72,147.96,147.57,147.85,1139714
86,02-27-2023,1677515400,147.85,147.93,147.45,147.73,1749244
87,02-27-2023,1677516300,147.74,147.97,147.67,147.93,765741
88,02-27-2023,1677517200,147.95,147.98,147.68,147.93,811599
89,02-27-2023,1677518100,147.94,148.16,147.75,148.1,915497
90,02-27-2023,1677519000,148.1,148.35,147.96,148.05,1092358
91,02-27-2023,1677519900,148.06,148.45,148.0,148.35,947620
92,02-27-2023,1677520800,148.34,148.51,148.28,148.48,860731
93,02-27-2023,1677521700,148.47,148.65,148.34,148.46,928721
94,02-27-2023,1677522600,148.47,148.53,148.17,148.18,772784
95,02-27-2023,1677523500,148.18,148.48,148.05,148.48,999466
96,02-27-2023,1677524400,148.48,148.79,148.42,148.63,1440380
97,02-27-2023,1677525300,148.63,148.64,148.26,148.41,1080109
98,02-27-2023,1677526200,148.4,148.59,148.12,148.26,990348
99,02-27-2023,1677527100,148.26,148.27,148.06,148.06,823226
100,02-27-2023,1677528000,148.06,148.21,147.85,148.11,1160929
101,02-27-2023,1677528900,148.12,148.18,147.91,148.15,992376
102,02-27-2023,1677529800,148.16,148.17,147.72,147.89,1764187
103,02-27-2023,1677530700,147.89,148.07,147.7,147.92,3162840
104,02-28-2023,1677594600,147.05,147.57,146.83,147.44,3798878
105,02-28-2023,1677595500,147.45,147.78,147.31,147.71,2110350
106,02-28-2023,1677596400,147.71,148.0,147.37,147.7,2360250
107,02-28-2023,1677597300,147.7,147.74,147.1,147.26,1542077
108,02-28-2023,1677598200,147.26,147.67,147.08,147.49,1471535
109,02-28-2023,1677599100,147.48,147.61,147.14,147.52,1129240
110,02-28-2023,1677600000,147.53,148.04,147.51,147.97,1159261
111,02-28-2023,1677600900,147.98,148.18,147.88,147.92,985516
112,02-28-2023,1677601800,147.91,148.09,147.74,147.79,745254
113,02-28-2023,1677602700,147.81,147.98,147.62,147.95,837496
114,02-28-2023,1677603600,147.96,148.26,147.96,148.21,795048
115,02-28-2023,1677604500,148.21,148.41,148.11,148.32,967981
116,02-28-2023,1677605400,148.32,148.47,148.21,148.35,891560
117,02-28-2023,1677606300,148.35,148.82,148.34,148.67,998503
118,02-28-2023,1677607200,148.67,148.84,148.66,148.69,983518
119,02-28-2023,1677608100,148.7,148.97,148.62,148.96,933426
120,02-28-2023,1677609000,148.96,149.08,148.73,148.82,1044292
121,02-28-2023,1677609900,148.82,148.95,148.72,148.82,756701
122,02-28-2023,1677610800,148.83,148.99,148.53,148.77,942994
123,02-28-2023,1677611700,148.78,148.81,148.58,148.62,751520
124,02-28-2023,1677612600,148.62,148.66,148.41,148.64,951359
125,02-28-2023,1677613500,148.63,148.76,148.26,148.32,959762
126,02-28-2023,1677614400,148.32,148.38,148.18,148.26,1014904
127,02-28-2023,1677615300,148.25,148.3,148.01,148.07,1091232
128,02-28-2023,1677616200,148.08,148.12,147.86,148.02,1477536
129,02-28-2023,1677617100,148.0,148.12,147.37,147.4,5219765
130,03-01-2023,1677681000,146.86,146.94,146.31,146.45,4550609
131,03-01-2023,1677681900,146.46,147.23,146.39,146.92,2413985
132,03-01-2023,1677682800,146.93,147.15,145.51,145.72,3229730
133,03-01-2023,1677683700,145.71,145.93,145.49,145.67,1793955
134,03-01-2023,1677684600,145.66,146.77,145.6,146.66,1964821
135,03-01-2023,1677685500,146.66,146.77,146.35,146.49,1576661
