,date,date_utc,open,high,low,close,volume
0,02-22-2023,1677076200,197.93,199.9,196.7,198.35,17070198
1,02-22-2023,1677077100,198.39,200.87,195.76,195.89,13377669
2,02-22-2023,1677078000,195.9,196.37,192.06,193.17,13606238
3,02-22-2023,1677078900,193.19,194.67,191.78,193.38,11136614
4,02-22-2023,1677079800,193.35,194.2,192.01,193.99,8527829
5,02-22-2023,1677080700,193.96,195.29,193.72,195.05,6999855
6,02-22-2023,1677081600,195.05,195.58,193.73,193.94,5907630
7,02-22-2023,1677082500,193.95,195.45,193.55,194.88,5049791
8,02-22-2023,1677083400,194.89,196.64,194.71,195.95,6481912
9,02-22-2023,1677084300,195.96,197.63,195.46,197.57,5696234
10,02-22-2023,1677085200,197.57,198.01,196.83,197.11,5461019
11,02-22-2023,1677086100,197.14,198.35,196.96,197.61,5135199
12,02-22-2023,1677087000,197.62,199.86,197.61,199.64,5501921
13,02-22-2023,1677087900,199.65,199.99,198.35,198.41,5312243
14,02-22-2023,1677088800,198.41,199.04,197.51,198.34,4920859
15,02-22-2023,1677089700,198.35,199.93,198.08,199.68,4298943
16,02-22-2023,1677090600,199.67,200.48,199.01,199.93,5099433
17,02-22-2023,1677091500,199.94,200.04,198.17,198.94,4663257
18,02-22-2023,1677092400,199.0,201.99,197.31,198.95,11312283
19,02-22-2023,1677093300,198.92,199.66,196.82,198.64,7664272
20,02-22-2023,1677094200,198.65,198.85,197.37,198.14,5255628
21,02-22-2023,1677095100,198.15,199.92,197.79,198.07,6274601
22,02-22-2023,1677096000,198.08,199.5,197.8,199.26,4512271
23,02-22-2023,1677096900,199.24,200.84,199.1,199.81,6098639
24,02-22-2023,1677097800,199.8,200.61,198.69,199.25,5430450
25,02-22-2023,1677098700,199.26,201.0,198.95,200.86,6850917
26,02-23-2023,1677162600,203.91,205.14,202.56,203.39,15813082
27,02-23-2023,1677163500,203.42,204.6,201.5,201.71,8412298
28,02-23-2023,1677164400,201.73,202.53,198.42,199.74,10091821
29,02-23-2023,1677165300,199.76,201.37,198.57,200.91,7654995
30,02-23-2023,1677166200,200.9,201.34,199.53,199.96,5857680
31,02-23-2023,1677167100,199.93,200.12,197.36,198.06,6927012
32,02-23-2023,1677168000,198.05,198.93,196.72,197.06,5471379
33,02-23-2023,1677168900,197.07,197.76,196.51,197.52,4452225
34,02-23-2023,1677169800,197.54,198.3,196.33,196.72,4271294
35,02-23-2023,1677170700,196.71,197.81,196.61,196.77,3581397
36,02-23-2023,1677171600,196.79,198.05,196.56,197.97,3204521
37,02-23-2023,1677172500,197.95,199.58,197.81,199.36,4665167
38,02-23-2023,1677173400,199.38,200.0,198.81,199.85,4401814
39,02-23-2023,1677174300,199.87,199.9,198.94,199.46,3433040
40,02-23-2023,1677175200,199.49,200.19,198.13,198.47,4073263
41,02-23-2023,1677176100,198.43,199.18,197.74,199.18,3133167
